platform,product_name,brand,pack_display,price_rupees,qty,unit,weight_grams,url,product_name_clean,brand_clean,price_per_100g
Amazon Fresh,"Low GI Bread Loaf Set, 100g Each, 2 Salted and 2 Multigrain Salted Loaves - 4 MEAL SUBSTITUTES",low,100g,236.0,,,100.0,,low gi bread loaf set 100g each 2 salted and 2 multigrain salted loaves 4 meal substitutes,Low,236.0
Amazon Fresh,"Modern Sandwich Supreme Bread, 400g",modern,400g,45.0,,,400.0,,modern sandwich supreme bread 400g,Modern,11.25
Amazon Fresh,"Modern Hi Fibre Brown Bread, 400g",modern,400g,45.0,,,400.0,,modern hi fibre brown bread 400g,Modern,11.25
Amazon Fresh,"Modern Multigrain Superseed Bread, 400 g",modern,400 g,55.0,,,400.0,,modern multigrain superseed bread 400 g,Modern,13.750000000000002
Amazon Fresh,"Modern Atta Shakti Bread , 400g",modern,400g,60.0,,,400.0,,modern atta shakti bread 400g,Modern,15.0
Amazon Fresh,"Modern Fruity Bread, 200 g",modern,200 g,25.0,,,200.0,,modern fruity bread 200 g,Modern,12.5
Amazon Fresh,The Baker's Dozen Zero Maida Banana Bread | Zero Palm Oil | Zero Trans Fat | With Natural Sweetness of Freshly Mashed Bananas,the baker's dozen,100 g,158.0,,,100.0,,the baker s dozen zero maida banana bread zero palm oil zero trans fat with natural sweetness of freshly mashed bananas,The Baker'S Dozen,158.0
Amazon Fresh,The Baker's Dozen Zero Maida Butter Garlic Toast | Zero Preservatives Flavoured with Garlic and Butter | Handcrafted with Love by Aditi Handa - Chef & Co-Founder | Pack of 1 X 90g.,the baker's dozen,90g,119.0,,,90.0,,the baker s dozen zero maida butter garlic toast zero preservatives flavoured with garlic and butter handcrafted with love by aditi handa chef co founder pack of 1 x 90g,The Baker'S Dozen,132.22222222222223
Amazon Fresh,"Modern Enriched Sweet Bun, 200g",modern,200g,25.0,,,200.0,,modern enriched sweet bun 200g,Modern,12.5
Amazon Fresh,"Modern Danish Bun, 60 gm",modern,60 g,10.0,,,100.0,,modern danish bun 60 gm,Modern,10.0
Amazon Fresh,"Only Gluten Free Sourdough Grains & seed's loaf Bread – 220g | Soft, Fresh, Tasty Gluten-Free Bread | 21-Day Shelf Life | Ideal for Sandwiches & Toast",only gluten free,220g,378.0,,,220.0,,only gluten free sourdough grains seed s loaf bread 220g soft fresh tasty gluten free bread 21 day shelf life ideal for sandwiches toast,Only Gluten Free,171.8181818181818
Amazon Fresh,"Only Gluten Free 5 seed loaf Bread – 220g | Soft, Fresh, Tasty Gluten-Free Bread | 21-Day Shelf Life | Ideal for Sandwiches & Toast",only gluten free,220g,348.0,,,220.0,,only gluten free 5 seed loaf bread 220g soft fresh tasty gluten free bread 21 day shelf life ideal for sandwiches toast,Only Gluten Free,158.1818181818182
Amazon Fresh,"Only Gluten Free Traditional White Loaf Bread – 220g | Soft, Fresh, Tasty Gluten-Free Bread | 21-Day Shelf Life | Ideal for Sandwiches & Toast",only gluten free,220g,298.0,,,220.0,,only gluten free traditional white loaf bread 220g soft fresh tasty gluten free bread 21 day shelf life ideal for sandwiches toast,Only Gluten Free,135.45454545454544
Amazon Fresh,The Baker's Dozen Zero Maida Lavash | Zero Palm Oil | Zero Trans Fat | Zero Preservative | Baked Not Fried | Crunchy Flatbread topped with Black and White Sesame Seeds,the baker's dozen,100 g,129.0,,,100.0,,the baker s dozen zero maida lavash zero palm oil zero trans fat zero preservative baked not fried crunchy flatbread topped with black and white sesame seeds,The Baker'S Dozen,129.0
