platform,product_name,brand,pack_display,price_rupees,qty,unit,weight_grams,url
JioMart,The Health Factory Zero Maida Burger Bun 120 g,The Health Factory,120 g,37.0,,,120.0,https://www.jiomart.com/p/groceries/the-health-factory-zero-maida-burger-bun-120-g/611109885
Amazon Fresh,"Low GI Bread Loaf Set, 100g Each, 2 Salted and 2 Multigrain Salted Loaves - 4 MEAL SUBSTITUTES",Low,100g,236.0,,,100.0,
Amazon Fresh,"Modern Sandwich Supreme Bread, 400g",Modern,400g,45.0,,,400.0,
Amazon Fresh,"Modern Hi Fibre Brown Bread, 400g",Modern,400g,45.0,,,400.0,
Amazon Fresh,"Modern Multigrain Superseed Bread, 400 g",Modern,400 g,55.0,,,400.0,
Amazon Fresh,"Modern Atta Shakti Bread , 400g",Modern,400g,60.0,,,400.0,
Amazon Fresh,"Modern Fruity Bread, 200 g",Modern,200 g,25.0,,,200.0,
Amazon Fresh,The Baker's Dozen Zero Maida Banana Bread | Zero Palm Oil | Zero Trans Fat | With Natural Sweetness of Freshly Mashed Bananas,The Baker's Dozen,100 g,158.0,,,100.0,
Amazon Fresh,The Baker's Dozen Zero Maida Butter Garlic Toast | Zero Preservatives Flavoured with Garlic and Butter | Handcrafted with Love by Aditi Handa - Chef & Co-Founder | Pack of 1 X 90g.,The Baker's Dozen,90g,119.0,,,90.0,
Amazon Fresh,"Modern Enriched Sweet Bun, 200g",Modern,200g,25.0,,,200.0,
Amazon Fresh,"Modern Danish Bun, 60 gm",Modern,60 g,10.0,,,100.0,
Amazon Fresh,"Only Gluten Free Sourdough Grains & seed's loaf Bread – 220g | Soft, Fresh, Tasty Gluten-Free Bread | 21-Day Shelf Life | Ideal for Sandwiches & Toast",Only Gluten Free,220g,378.0,,,220.0,
Amazon Fresh,"Only Gluten Free 5 seed loaf Bread – 220g | Soft, Fresh, Tasty Gluten-Free Bread | 21-Day Shelf Life | Ideal for Sandwiches & Toast",Only Gluten Free,220g,348.0,,,220.0,
Amazon Fresh,"Only Gluten Free Traditional White Loaf Bread – 220g | Soft, Fresh, Tasty Gluten-Free Bread | 21-Day Shelf Life | Ideal for Sandwiches & Toast",Only Gluten Free,220g,298.0,,,220.0,
Amazon Fresh,The Baker's Dozen Zero Maida Lavash | Zero Palm Oil | Zero Trans Fat | Zero Preservative | Baked Not Fried | Crunchy Flatbread topped with Black and White Sesame Seeds,The Baker's Dozen,100 g,129.0,,,100.0,
